"","x"
"1",0.44
"2",0.77
"3",0.6
"4",-0.22
"5",-0.16
"6",0.11
"7",0.11
"8",0.38
"9",0.33
"10",-0.11
"11",-0.27
"12",-0.11
"13",0.49
"14",0.54
"15",0.64
"16",0.32
"17",0.59
"18",0.32
"19",-0.16
"20",0.05
"21",0.21
"22",0.53
"23",0.05
"24",-0.37
"25",0.21
"26",0.58
"27",0.78
"28",0.67
"29",-0.1
"30",0.05
"31",0.46
"32",0.51
"33",1.22
"34",0.2
"35",-0.8
"36",-0.4
"37",0.76
"38",0.2
"39",0.55
"40",0.85
"41",0.5
"42",0.2
"43",0.3
"44",0.2
"45",-0.49
"46",-0.54
"47",-0.15
"48",0.15
"49",0.31
"50",0.54
"51",0.91
"52",0.65
"53",0.61
"54",0.19
"55",-0.03
"56",-0.18
"57",0.28
"58",0.21
"59",0.59
"60",-0.07
"61",0.5
"62",0.29
"63",0.87
"64",0.61
"65",0.84
"66",1.01
"67",0.53
"68",-0.4
"69",-0.14
"70",-1.01
"71",-1.92
"72",-1.03
"73",0.44
"74",0.5
"75",0.24
"76",0.25
"77",0.29
"78",0.86
"79",-0.16
"80",0.22
"81",0.06
"82",0.1
"83",0.07
"84",-0.18
"85",0.34
"86",0.02
"87",0.41
"88",0.17
"89",0.08
"90",-0.1
"91",0.02
"92",0.14
"93",0.06
"94",0.12
"95",0.04
"96",0.17
"97",0.48
"98",0.49
"99",0.98
"100",0.64
"101",0.47
"102",-0.11
"103",0.09
"104",0.28
"105",0.15
"106",-0.21
"107",-0.08
"108",-0.25
"109",0.44
"110",0.44
"111",0.76
"112",0.3
"113",-0.12
"114",-0.15
"115",-0.16
"116",0.56
"117",0.45
"118",-0.04
"119",-0.47
"120",-0.27
"121",0.3
"122",0.82
"123",0.26
"124",-0.1
"125",0.18
"126",0.24
"127",0.04
"128",0.12
"129",0.12
"130",-0.26
"131",-0.2
"132",-0.01
"133",0.37
"134",0.37
"135",0.64
"136",0.33
"137",0.35
"138",0.19
"139",-0.04
"140",-0.17
"141",0.08
"142",-0.25
"143",-0.54
"144",-0.57
"145",-0.47
"146",0.43
"147",0.6
"148",0.2
"149",0.51
"150",0.35
"151",0.01
"152",-0.14
"153",-0.16
"154",-0.04
"155",-0.21
"156",-0.34
"157",0.17
"158",0.08
"159",0.43
"160",0.47
"161",0.4
"162",0.33
"163",-0.16
"164",0.09
"165",0.24
"166",0.12
"167",-0.16
"168",0.03
"169",0.58
"170",0.31
"171",0.08
"172",0.3
"173",0.09
"174",0.09
"175",-0.07
"176",0.3
"177",0.53
"178",-0.06
"179",0
"180",-0.06
